Date,Description,Amount,Type
2026-08-01,Shoprite,1200.00,Debit
2026-08-03,ZESCO Prepaid,300.00,Debit
2026-08-05,Fuel Puma,800.00,Debit
2026-08-06,Netflix,150.00,Debit
2026-08-10,KFC,120.00,Debit
2026-08-15,Pharmacy,50.00,Debit
2026-08-20,Shoprite,800.00,Debit
2026-07-01,Shoprite,1100.00,Debit
2026-07-05,ZESCO Prepaid,250.00,Debit
2026-07-10,Fuel Puma,850.00,Debit
2026-07-15,KFC,150.00,Debit
2026-06-01,Shoprite,1300.00,Debit
2026-06-10,ZESCO Prepaid,350.00,Debit
2026-06-12,Fuel Puma,750.00,Debit
